,definition,total_views,total_likes,avg_daily_views,total_comments,publish_date,title,quarter,grade_level,teacher,episode,subject,duration_in_seconds,definition_numerical,episode_numerical,quarter_numerical,x0_Grade 1,x0_Grade 10,x0_Grade 2,x0_Grade 3,x0_Grade 4,x0_Grade 5,x0_Grade 6,x0_Grade 7,x0_Grade 8,x0_Grade 9,x0_Kinder,x0_SHS,x1_,x1_aileen sto domingo,x1_allen jemuel nicdao,x1_alma cecilia lawagan,x1_alvin sy,x1_angelica villostas,x1_annie rose rodeo,x1_antonio maaghop,x1_antonio maypa,x1_arcel pacaige,x1_ariel delos santos,x1_arjay tella,x1_arji alvarado,x1_arlyn miradora,x1_avgil megino,x1_aynah macakiling,x1_brex brayan nicolas,x1_carlo francis palma,x1_carolain kennan,x1_charlene perlado,x1_charlene ypil licay licay,x1_cherry gil mendoza,x1_danilyn espinola,x1_dawn criselle,x1_deejay santiago,x1_derry ann belen,x1_desheryl cuyos,x1_edgar francisco,x1_eljay campos,x1_enrique arlanza,x1_ethel tumanan,x1_eujan abracia,x1_frances rose sunga,x1_frank lloyd de guzman,x1_gennifer de jesus,x1_geraldson crispo,x1_gerry rivas,x1_grace galon,x1_herlyn ducot,x1_ike dominic jalwin,x1_immanuel maglasang,x1_jachelle donasco,x1_jamil carvajal,x1_janet dar juan,x1_janine santos,x1_jason flores oso,x1_jaymarc verce buan,x1_jayson dedal,x1_jayson flores oso,x1_jayson manuel osong,x1_jeannelou corales,x1_jenica vertudes,x1_jerson quiachon orbiso,x1_jessie sondia,x1_jester pagkaliwagan,x1_joanne dioso peralta,x1_jobelle mostoles,x1_john david martin,x1_john jefferson sevilla,x1_john lester briones,x1_joseph pagulayan,x1_josephine pama,x1_joshua ebora,x1_joshua salazar,x1_jossa andrea mae joble,x1_josua ebora,x1_jovy villafuerte,x1_joy salazar,x1_juan ponce santiago,x1_julie ann loterte gibas,x1_karla mae castro,x1_kevin domingo,x1_keziah anne procianos,x1_khristine lumalang,x1_khristine maac,x1_kim bialen,x1_kit alfonso nadado,x1_laiza dalit,x1_leo angeles,x1_levin pabriaga,x1_liezyl cabaging,x1_loren domer ybañez,x1_love algabre ruiz,x1_love mantilla,x1_lovelyn intal,x1_ma kenneth aiza mago,x1_marco paolo victoriano,x1_maria angeline delos santos,x1_maria luisa san miguel,x1_maria may sevilla,x1_marianne ysabel lobrin,x1_maribel bulalayao,x1_maricon samin,x1_marilyn escoto,x1_marjorie ipulan,x1_mark anthony jamisal,x1_mark anthony sy,x1_mark joseph valdez,x1_marvin balingit,x1_marvin olaso,x1_mary anne santos,x1_mary grace tecson,x1_mary joy villareal,x1_maybelen trinidad,x1_melody sanchez,x1_melvin magsayo,x1_michael angelo maleriado,x1_monique francisco,x1_mutya vistan,x1_mylene navarro,x1_nexus avanceña,x1_nova dolore pelayo,x1_pamela amor villanueva,x1_pamelah amor,x1_patrick opeña,x1_paul mark valenzuela,x1_paul patrick guanzon,x1_paula yaptangco,x1_pia mae repaso,x1_prince andrew mangahas,x1_rafael martinez,x1_raffy berina,x1_ramed borja,x1_ramiefe labastida,x1_regine batralo,x1_reverie vargas,x1_ricaflor pingal,x1_richel mendoza,x1_rolly manayan,x1_ronnel agoncillo,x1_ruby rose abuan,x1_ryan alba,x1_salvador manansala,x1_shaddai lee vidal,x1_shane mariano,x1_sharlene grace martin,x1_sherwin veluz abulencia,x1_teofredo lauronilla,x1_tonet magtanong,x1_vicky leguarda,x1_victor gocoyo,x1_vivian tiguelo,x1_wenschil rosin,x1_whisper salinas,x1_wilbert venzon,x2_,x2_21st century literature,x2_araling panlipunan,x2_arts,x2_arts & health,x2_arts & music,x2_arts & physical education,x2_arts quarter,x2_business math,x2_contemporary philippine arts from the regions,x2_disaster readiness & risk reduction,x2_earth & life science,x2_earth science,x2_edukasyon pantahanan at pangkabuhayan,x2_edukasyon sa pagkatao,x2_edukasyon sa pagparaling panlipunanakatao,x2_empowerment technologies,x2_english,x2_entrepreneurship,x2_filipino,x2_general biology,x2_general math,x2_health,x2_holistic development,"x2_inquiries, investigations, and immersion",x2_introduction of world religions and belief systems,x2_komunikasyon at pananaliksik,x2_math,x2_media and information literacy,x2_mother tongue based multilingual education,x2_music,x2_music & arts,x2_music & physical education,x2_oral communication,x2_pagbasa,x2_pagbasa at pagsusuri,x2_philippine politics and governance,x2_philosophy,x2_physical education,x2_physical education & health,x2_physical educational development,x2_physical science,x2_pre calculus,x2_principles of marketing,x2_reading,x2_reading and writing,x2_safety & first aid,x2_science,x2_statistics,x2_subject: arts quarter ep1,x2_technology and livelihood education,"x2_understanding culture, society, and politics",tagstr,DepEd,DepEd Online,DepEd TV,DepEdTV,Deped tv official,ESP,English,English grade 4,Grade 2,Grade 3,Grade 4,Grade 5,Grade 7,Grade 8,Math,Online Learning,deped TV English,deped module,deped tv grade 6,deped tv kinder,depedtv,depedtv channel,english,grade 6,ibc depedtv,ibc depedtv channel,ibc13 deped tv,kinder,no tags
10,hd,20896,397,58,0,2021-02-03,Grade 8 Filipino Q1 Ep 11 Iba't Ibang Teknik sa Pagpapalawak ng Paksa,Quarter 1,Grade 8,ronnel agoncillo,Episode 11,filipino,1521,1,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"DepEd,DepEd TV,Online Learning,DepEd Online,Deped tv official,depedtv,deped module,ibc depedtv,ibc13 deped tv,depedtv channel,ibc depedtv channel",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0
11,hd,14583,275,40,0,2021-02-03,Grade 8 Filipino Q1 Ep 12 Pagsulat ng Talata,Quarter 1,Grade 8,ronnel agoncillo,Episode 12,filipino,1588,1,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"DepEd,DepEd TV,Online Learning,DepEd Online,Deped tv official,depedtv,deped module,ibc depedtv,ibc13 deped tv,depedtv channel,ibc depedtv channel",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0
12,hd,73783,1266,204,44,2021-02-03,Grade 7/8 TLE Q1 Ep 1 Using Hand Tools,Quarter 1,Grade 7,marco paolo victoriano,Episode 01,technology and livelihood education,1215,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"DepEd,DepEd TV,Online Learning,DepEd Online,Deped tv official,depedtv,deped module,ibc depedtv,ibc13 deped tv,depedtv channel,ibc depedtv channel",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0
13,hd,7436,111,21,12,2021-02-03,Grade 7/8 TLE Q1 Ep 7 Testing Electronic Components (Part 1),Quarter 1,Grade 7,marco paolo victoriano,Episode 07,technology and livelihood education,1054,1,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"DepEd,DepEd TV,Online Learning,DepEd Online,Deped tv official,depedtv,deped module,ibc depedtv,ibc13 deped tv,depedtv channel,ibc depedtv channel",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0
14,hd,38367,624,106,35,2021-02-03,Grade 7/8 TLE Q1 Ep 2 Components of a Computer System  (Part 1),Quarter 1,Grade 7,marco paolo victoriano,Episode 02,technology and livelihood education,1337,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"DepEd,DepEd TV,Online Learning,DepEd Online,Deped tv official,depedtv,deped module,ibc depedtv,ibc13 deped tv,depedtv channel,ibc depedtv channel",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0
15,hd,14930,258,38,9,2021-01-03,Grade 8 Science Q1 Ep 12: Safe Electricity Application,Quarter 1,Grade 8,mark joseph valdez,Episode 12,science,1322,1,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"DepEd,DepEd TV,Online Learning,DepEd Online,Deped tv official,depedtv,deped module,ibc depedtv,ibc13 deped tv,depedtv channel,ibc depedtv channel",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0
16,hd,26147,482,69,109,2021-01-18,Grade 8 PE & Health Q1 Ep 1 Go For Fitness Goal,Quarter 1,Grade 8,allen jemuel nicdao,Episode 01,physical education & health,1628,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"DepEd,DepEd TV,Online Learning,DepEd Online,Deped tv official,depedtv,deped module,ibc depedtv,ibc13 deped tv,depedtv channel,ibc depedtv channel",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0
17,hd,8026,125,21,7,2021-01-18,Grade 8 PE & Health Q1 Ep 4  Introduction to Team Sports,Quarter 1,Grade 8,allen jemuel nicdao,Episode 04,physical education & health,1635,1,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"DepEd,DepEd TV,Online Learning,DepEd Online,Deped tv official,depedtv,deped module,ibc depedtv,ibc13 deped tv,depedtv channel,ibc depedtv channel",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0
18,hd,53094,1044,140,23,2021-01-18,Grade 8 Science Q1 Ep 9 Heat and Temperature,Quarter 1,Grade 8,mark joseph valdez,Episode 09,science,1208,1,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"DepEd,DepEd TV,Online Learning,DepEd Online,Deped tv official,depedtv,deped module,ibc depedtv,ibc13 deped tv,depedtv channel,ibc depedtv channel",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0
19,hd,33575,545,89,10,2021-01-18,Grade 8 Science Q1 Ep 10,Quarter 1,Grade 8,mark joseph valdez,Episode 10,science,1221,1,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"DepEd,DepEd TV,Online Learning,DepEd Online,Deped tv official,depedtv,deped module,ibc depedtv,ibc13 deped tv,depedtv channel,ibc depedtv channel",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0
